"Day","Susceptible","New Infections","Exposed","Infected","Hospitalized","Critical","Recovered","Dead","date","Cases"
131,17922729.5623496,55863.6022680213,171605.416858584,141469.745303236,1360.30684758656,346.199152370349,574040.317806787,237.664557071527,2020-08-09,57570.1082679782
132,17863736.8613763,58992.7009733721,181567.998680474,150079.937184803,1446.85603659788,369.841708774938,614332.054247208,255.663641150071,2020-08-10,60809.3987187449
133,17801504.5058766,62232.3554996363,191923.783076669,159076.526192563,1537.71415561211,394.838345158197,657076.940931532,274.9042971103,2020-08-11,64164.9080004066
134,17735925.2300763,65579.275800351,202667.692228851,168461.456740264,1632.9599809353,421.239463105059,702385.17542521,295.458960630252,2020-08-12,67633.4752443913
135,17666896.0516952,69029.1783810976,213791.815629515,178234.666889633,1732.65647402138,449.093705756659,750367.525583459,317.40289770774,2020-08-13,71210.9285608756
136,17594319.339251,72576.7124441179,225285.152118402,188393.852254044,1836.84843092358,478.447423884332,801134.759270615,340.814126341602,2020-08-14,74892.0082989258
137,17518103.9487974,76215.3904536597,237133.356188151,198934.223654401,1945.55999642987,509.344090377342,854797.006838161,365.773310349948,2020-08-15,78670.2945404669
138,17438166.4237114,79937.5250859524,249318.493724022,209848.261532101,2058.79206107191,541.823662408314,911463.05456171,392.363622509252,2020-08-16,82538.1408094326
139,17354432.249025,83734.1746864301,261818.812989498,221125.47074107,2176.51956442706,575.921891471467,971239.568089643,420.670574143147,2020-08-17,86486.6161423287
140,17266837.1495487,87595.0994763155,274608.537251152,232752.139966533,2298.68873392474,611.669582554515,1034230.24598412,450.781808281575,2020-08-18,90505.4577927948
141,17175328.4187273,91508.7308214313,287657.685922366,244711.11063124,2425.21429458689,649.091804917216,1100534.90464133,482.786853556327,2020-08-19,94583.0369209354
142,17079866.2628379,95462.1558893516,300931.931465996,256981.560726689,2555.97669160989,688.207058312236,1170248.49725864,516.776836105577,2020-08-20,98706.3396392738
143,16980425.1428688,99441.119969104,314392.499501692,269538.809521906,2690.8193742352,729.026399993777,1243460.07106169,552.844146935745,2020-08-21,102860.965743333
144,16876995.0942644,103430.048604403,327996.119587214,282354.149528946,2829.54619573195,771.552539504318,1320251.66869702,591.082062441795,2020-08-22,107031.14733964
145,16769583.0027719,107412.091492473,341695.033961056,295394.712415777,2971.91899027934,815.778909989363,1400697.18151011,631.584316124308,2020-08-23,111199.789392742
146,16658213.8129484,111369.189823546,355437.071126673,308623.375727657,3117.65539282375,861.688726634805,1484861.16433312,674.444619970074,2020-08-24,115348.533943004
147,16542931.6445673,115282.168381083,369165.790512868,321998.717283608,3266.42697232191,909.254044713603,1572797.62335996,719.75613448772,2020-08-25,119457.849398119
148,16423800.7912753,119130.853292024,382820.703552882,335475.023934016,3417.85775189065,958.434831621591,1664548.79064256,767.610887014683,2020-08-26,123507.145875536
149,16300906.5754606,122894.215814706,396337.575385958,349002.360981505,3571.52319100045,1009.17806912295,1760143.90064847,818.099138638001,2020-08-27,127474.917074829
150,16174356.0334737,126550.541986906,409648.810006494,362526.70796773,3726.9497047242,1061.41690375407,1859597.986118,871.308700897783,2020-08-28,131338.908595384
